,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,mean_abs_error,correlation,scale,zero_point,tensor_name,range,rmse/scale
916,SUB,4666,65536.0,0.0014319408,0.06271325,0.0648757,0.0039366335,0.06271329,0.5625784365205669,0.13324672,-70,model_1/transformer/layer_7/attention_layer_norm/sub,33.9779136,0.470875359430188
452,SQUARED_DIFFERENCE,2810,65536.0,0.2824712,-0.03807867,0.55122584,0.08124693,0.23017538,0.5622200220710283,1.0988882,-128,model_1/transformer/layer_3/attention_layer_norm/moments/SquaredDifference,280.216491,0.25938805338675597
910,ADD,4642,65536.0,0.054024152,-0.0008518421,3.6121333,0.0030137468,0.034001008,0.5552145861542082,0.1332831,-70,model_1/transformer/layer_7/add,33.9871905,0.41188719996800666
284,SOFTMAX,2138,16384.0,0.0007031755,-0.00014755703,0.0019554622,5.166042e-07,0.000447058,0.5378912216062761,0.00390625,-128,model_1/transformer/layer_2/mha/mhasdp_3/Softmax,0.99609375,0.1840004697037483
467,SQUARED_DIFFERENCE,2870,65536.0,0.96440125,-0.4634206,6.270743,1.1449902,0.7366661,0.530109115169145,5.667015,-128,model_1/transformer/layer_3/output_layer_norm/moments/SquaredDifference,1445.088825,0.1888193605809344
222,SQUARED_DIFFERENCE,1890,65536.0,0.299004,-0.044892497,0.5915069,0.09142284,0.24213776,0.5276762018258633,1.1799136,-128,model_1/transformer/layer_1/attention_layer_norm/moments/SquaredDifference,300.87796799999995,0.25625783175961947
202,SOFTMAX,1810,16384.0,0.0009321282,-0.0002340453,0.0019527822,9.2597264e-07,0.0007664354,0.5238813957061283,0.00390625,-128,model_1/transformer/layer_1/mha/mhasdp_6/Softmax,0.99609375,0.24634232875216552
587,MUL,3350,65536.0,0.026204705,9.2925904e-05,4.8884993,0.000729302,0.002963032,0.5231839280841586,0.110245556,-77,model_1/transformer/layer_4/output_layer_norm/mul,28.11261678,0.24495855427956778
818,MUL,4274,65536.0,0.050115205,-0.00094473356,5.114068,0.0026026226,0.013178852,0.5199532409021935,0.11782194,-78,model_1/transformer/layer_6/output_layer_norm/mul_1,30.0445947,0.4329915579639546
819,ADD,4278,65536.0,0.0358932,-0.0044595976,0.06468384,0.0013082875,0.031566165,0.5015709963090754,0.12211186,-80,model_1/transformer/layer_6/output_layer_norm/add_1,31.1385243,0.29620593051523125
472,MUL,2890,65536.0,0.030995421,-1.2209885e-05,0.7139276,0.0009607641,0.026233869,0.5013067869943716,0.10648153,-69,model_1/transformer/layer_3/output_layer_norm/mul,27.15279015,0.2910945675533111
799,ADD,4198,128.0,0.0,0.0,0.0,0.0,0.0,0.4930972351421681,0.0104098795,-128,model_1/transformer/layer_6/attention_layer_norm/add,2.6545192725,0.0
917,MUL,4670,65536.0,0.023876997,0.00021313078,0.47981572,0.0005708231,0.019155718,0.4834562116987075,0.0923122,-70,model_1/transformer/layer_7/attention_layer_norm/mul,23.539611,0.258816326408282
931,SUB,4726,65536.0,0.0003788564,-0.036556613,0.040960684,0.0013373478,0.036568876,0.4560313917838925,0.0849472,-72,model_1/transformer/layer_7/output_layer_norm/sub,21.661536,0.43049995998758517
673,SOFTMAX,3694,16384.0,0.00070798397,-0.00010211309,0.002548772,5.192342e-07,0.00042378053,0.455206392987553,0.00390625,-128,model_1/transformer/layer_5/mha/mhasdp_7/Softmax,0.99609375,0.18446824260885666
925,ADD,4702,65536.0,0.024842404,-0.00014526903,0.7182683,0.0006172928,0.021253578,0.452812189666453,0.08496928,-72,model_1/transformer/layer_7/add_1,21.6671664,0.29240424115340513
932,MUL,4730,65536.0,0.021783054,-0.00017580304,0.38341483,0.0004752075,0.016809097,0.4275629319584835,0.096083954,-68,model_1/transformer/layer_7/output_layer_norm/mul,24.50140827,0.22687715968070468
701,SUB,3806,65536.0,0.078912884,0.091867656,0.67024153,0.01469424,0.09187801,0.4255772174643662,1.434072,-124,model_1/transformer/layer_5/output_layer_norm/sub,365.68836,0.0845283921328999
918,MUL,4674,65536.0,0.02239373,0.00028684904,0.050551485,0.0005017189,0.018623926,0.3946515990071632,0.08483796,-77,model_1/transformer/layer_7/attention_layer_norm/mul_1,21.6336798,0.26402193747348807
695,ADD,3782,65536.0,0.3183603,-0.0039142035,0.69905424,0.101437606,0.24542384,0.3942873945807313,1.4366136,-124,model_1/transformer/layer_5/add_1,366.336468,0.22169684979503035
919,ADD,4678,65536.0,0.024657493,-3.525094e-05,0.044998847,0.0006080242,0.021271663,0.386402257241547,0.08705449,-79,model_1/transformer/layer_7/attention_layer_norm/add_1,22.19889495,0.28324956848052224
352,SQUARED_DIFFERENCE,2410,65536.0,0.8392035,-0.3746981,2.173064,0.84471875,0.6667284,0.3798690292335675,4.33084,-128,model_1/transformer/layer_2/output_layer_norm/moments/SquaredDifference,1104.3642,0.21221883583287854
376,ADD,2506,16384.0,0.0,0.0,0.0,0.0,0.0,0.3693216475359311,0.17370078,37,model_1/transformer/layer_3/mha/mhasdp_1/add,44.2936989,0.0
375,MUL,2502,16384.0,0.0,0.0,0.0,0.0,0.0,0.3693216475359311,0.17370078,37,model_1/transformer/layer_3/mha/mhasdp_1/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,44.2936989,0.0
578,MUL,3314,262144.0,0.06384309,0.08513301,0.17841557,0.011324117,0.086957835,0.3627785911915467,0.3578104,-128,model_1/transformer/layer_4/intermediate/mul_1,91.24165199999999,0.29740564973010597
851,TRANSPOSE,4406,8192.0,0.0,0.0,0.0,0.0,0.0,0.3450386534496909,0.05637018,8,model_1/transformer/layer_7/mha/mhasdp_2/MatMul_11,14.3743959,0.0
684,ADD,3738,128.0,0.0,0.0,0.0,0.0,0.0,0.321906137181271,0.008422184,-128,model_1/transformer/layer_5/attention_layer_norm/add,2.1476569199999997,0.0
369,TRANSPOSE,2478,8192.0,0.0,0.0,0.0,0.0,0.0,0.3030757693419252,0.032098986,-10,model_1/transformer/layer_3/mha/mhasdp_0/MatMul_11,8.185241430000001,0.0
122,SQUARED_DIFFERENCE,1490,65536.0,0.94646096,-0.4289122,2.7349944,1.0800129,0.7173958,0.3019592264556708,5.474722,-128,model_1/transformer/layer_0/output_layer_norm/moments/SquaredDifference,1396.05411,0.18982455931793193
599,TRANSPOSE,3398,8192.0,0.0,0.0,0.0,0.0,0.0,0.2884573697292788,0.0386537,1,model_1/transformer/layer_5/mha/mhasdp_0/MatMul_11,9.8566935,0.0
895,TRANSPOSE,4582,8192.0,0.0,0.0,0.0,0.0,0.0,0.2841285805549882,0.038834993,4,model_1/transformer/layer_7/mha/mhasdp_6/MatMul_11,9.902923215,0.0
454,ADD,2818,128.0,0.0,0.0,0.0,0.0,0.0,0.2816987909579918,0.007079292,-128,model_1/transformer/layer_3/attention_layer_norm/add,1.80521946,0.0
840,TRANSPOSE,4362,8192.0,0.0,0.0,0.0,0.0,0.0,0.2725611154025487,0.038944833,-3,model_1/transformer/layer_7/mha/mhasdp_1/MatMul_11,9.930932415,0.0
884,TRANSPOSE,4538,8192.0,0.0,0.0,0.0,0.0,0.0,0.2638796845314489,0.040423457,16,model_1/transformer/layer_7/mha/mhasdp_5/MatMul_11,10.307981535000001,0.0
725,TRANSPOSE,3902,8192.0,0.0,0.0,0.0,0.0,0.0,0.2515456823098869,0.035948854,-5,model_1/transformer/layer_6/mha/mhasdp_1/MatMul_11,9.16695777,0.0
809,FULLY_CONNECTED,4238,65536.0,0.15349743,-0.00017521212,0.7777508,0.023563983,0.12491709,0.2412477986838611,0.4150971,-122,model_1/transformer/layer_6/out/MatMul;model_1/transformer/layer_6/out/add,105.8497605,0.3698065942820308
481,SOFTMAX,2926,16384.0,0.00039262458,-4.7206264e-05,0.0019518919,1.5721547e-07,0.00013985169,0.2371496249531595,0.00390625,-128,model_1/transformer/layer_4/mha/mhasdp_0/Softmax,0.99609375,0.10150503949026374
557,ADD,3230,16384.0,0.0,0.0,0.0,0.0,0.0,0.2323950165610585,0.26322797,44,model_1/transformer/layer_4/mha/mhasdp_7/add,67.12313234999999,0.0
556,MUL,3226,16384.0,0.0,0.0,0.0,0.0,0.0,0.2323950165610585,0.26322797,44,model_1/transformer/layer_4/mha/mhasdp_7/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,67.12313234999999,0.0
714,TRANSPOSE,3858,8192.0,0.0,0.0,0.0,0.0,0.0,0.2156070034991638,0.048055757,-5,model_1/transformer/layer_6/mha/mhasdp_0/MatMul_11,12.254218035,0.0
237,SQUARED_DIFFERENCE,1950,65536.0,0.9463544,-0.42097855,2.7379212,1.0731198,0.71361387,0.2126655623896219,5.4660172,-128,model_1/transformer/layer_1/output_layer_norm/moments/SquaredDifference,1393.834386,0.18951915444019043
596,SOFTMAX,3386,16384.0,0.00038895148,-6.931381e-05,0.0019516078,1.5949783e-07,0.0001567602,0.2119192763474246,0.00390625,-128,model_1/transformer/layer_5/mha/mhasdp_0/Softmax,0.99609375,0.10223917931439004
607,SOFTMAX,3430,16384.0,0.0002850967,-3.8457216e-05,0.001949568,8.3450615e-08,8.420461e-05,0.2042285480356512,0.00390625,-128,model_1/transformer/layer_5/mha/mhasdp_1/Softmax,0.99609375,0.07395281945024139
829,TRANSPOSE,4318,8192.0,0.0,0.0,0.0,0.0,0.0,0.2024305024929149,0.032710385,-6,model_1/transformer/layer_7/mha/mhasdp_0/MatMul_11,8.341148175,0.0
736,TRANSPOSE,3946,8192.0,0.0,0.0,0.0,0.0,0.0,0.1991475246900613,0.034848552,4,model_1/transformer/layer_6/mha/mhasdp_2/MatMul_11,8.88638076,0.0
569,ADD,3278,128.0,0.0,0.0,0.0,0.0,0.0,0.1959803711766943,0.0066750287,-128,model_1/transformer/layer_4/attention_layer_norm/add,1.7021323185000001,0.0
662,SOFTMAX,3650,16384.0,0.00028852333,-3.776983e-05,0.0019573811,8.520763e-08,8.4502564e-05,0.1892111029755028,0.00390625,-128,model_1/transformer/layer_5/mha/mhasdp_6/Softmax,0.99609375,0.0747272857775525
388,SOFTMAX,2554,16384.0,0.00080660166,-6.946992e-05,0.0019525439,6.609362e-07,0.000534071,0.1853076906658592,0.00390625,-128,model_1/transformer/layer_3/mha/mhasdp_2/Softmax,0.99609375,0.2081228358522918
862,TRANSPOSE,4450,8192.0,0.0,0.0,0.0,0.0,0.0,0.1836312665835723,0.04294276,-4,model_1/transformer/layer_7/mha/mhasdp_3/MatMul_11,10.9504038,0.0
